"Active","Активно"
"No payment response","Не е примен валиден одговор за плаќање. Можете да обидете се повторно!"
"Ordering as a company?","Нарачувате како компанија?"
"Payment error","Грешка во плаќањето"
"Payment failed","Плаќањето неуспешно"
"Payment failed, you can try again","Плаќањето неуспешно, можете да обидете се повторно..."
"Payment has failed","Плаќањето е неуспешно. Можете да обидете се повторно!"
"Payment refused","Плаќањето одбиено"
"Payment refused, you can try again","Плаќањето одбиено, можете да обидете се повторно..."
"Recurring interval","Интервал на повторување"
"Recurring interval value","Вредност на интервалот на повторување"
"Recurring total payments","Вкупен број на повторувачки плаќања"
"Refunded amount","Износ на враќање"
"Try to pay again","Обидете се повторно да платите..."
"error","Грешка"
"error_contact_us","Грешка, ве молиме контактирајте нè за помош."
"remove_token_confirm","Ве молиме потврдете дека сакате да ја отстраните референцата на токенот за плаќање. Ако имате претплати кај нас, тие можат да бидат прекинати ако не успееме да ви наплатиме за следниот период на наплата."
"result","Резултат"
"Custom Frontend CSS","Прилагоден Frontend CSS"
"Add custom CSS code that will be rendered in the frontend template","Додај прилагоден CSS код кој ќе се прикаже во frontend шаблонот"
"Custom Frontend JS","Прилагоден Frontend JS"
"Add custom JavaScript code that will be rendered in the frontend template","Додај прилагоден JavaScript код кој ќе се прикаже во frontend шаблонот"
"Debug Mode","Режим на Debug"
"Enable detailed logging for debugging purposes. When disabled, only errors will be logged.","Овозможи детално логирање за дебагирање. Кога е оневозможено, само грешките ќе бидат логирани."
"An error occurred while processing your request.","Настана грешка при обработката на вашиот барање."
"Fiscal Information","Фискални информации"
"Shipping Information","Информации за испорака"
"Billing Address","Адреса за наплата"
"Payment Details","Детали за плаќање"
"Phone: ","Телефон: "
"Order information is not available.","Информациите за нарачката не се достапни."
"Order UID","Order UID"
"Authorization Code","Авторизациски код"
"Transaction Status Code","Код на статус на трансакција"
"Transaction ID","ID на трансакција"
"Transaction Time","Време на трансакција"
"Amount in order currency","Износ во валута на нарачка"
"Amount in payment currency","Износ во валута на плаќање"
"Subtotal:","Меѓузбир:"
"Shipping:","Испорака:"
"Grand Total:","Вкупно:"
"Order Totals","Вкупни износи на нарачка"
"Order Items","Ставки на нарачка"
"Order Summary","Преглед на нарачка"
"Payment Successful!","Плаќањето успешно!"
"Payment Failed!","Плаќањето неуспешно!"
"Order Number:","Број на нарачка:"
"Order Date:","Датум на нарачка:"
"Payment Method:","Начин на плаќање:"
"Order Status:","Статус на нарачка:"
"Thank you for your order. Your payment has been processed successfully.","Ви благодариме за нарачката. Вашето плаќање е успешно обработено."
"We're sorry, but your payment could not be processed. Please review the details below and try again.","Жал ни е, но вашето плаќање не можеше да биде обработено. Ве молиме прегледајте ги деталите подолу и обидете се повторно."
"Tax:","Данок:"
"Discount:","Попуст:"
"Grand Total:","Вкупно:"
"Order Totals","Вкупни износи на нарачка"
"Order Items","Ставки на нарачка"
"Order Summary","Преглед на нарачка"
"Payment Successful!","Плаќањето успешно!"
"Payment Failed!","Плаќањето неуспешно!"
"Order Number:","Број на нарачка:"
"Order Date:","Датум на нарачка:"
"Payment Method:","Начин на плаќање:"
"Order Status:","Статус на нарачка:"
"Product","Производ"
"SKU","SKU"
"Qty","Количина"
"Price","Цена"
"Total","Вкупно"
"Subtotal:","Меѓузбир:"
"Shipping:","Испорака:"
"Tax:","Данок:"
"Billing Address","Адреса за наплата"
"Shipping Address","Адреса за испорака"
"Phone: ","Телефон: "
"Payment Details","Детали за плаќање"
"Fiscal Information","Фискални информации"
"Shipping Information","Информации за испорака"
"View My Orders","Мои нарачки"
"Continue Shopping","Продолжи со купување"
"Try Payment Again","Обиди се повторно да платиш"
"Order information is not available.","Информациите за нарачката не се достапни."
"Return to Homepage","Врати се на почетна страна"
"Order UID","Order UID"
"Authorization Code","Авторизациски код"
"Transaction Status Code","Код на статус на трансакција"
"Transaction ID","ID на трансакција"
"Transaction Time","Време на трансакција"
"Amount in order currency","Износ во валута на нарачка"
"Amount in payment currency","Износ во валута на плаќање"

"Production","Production"
"HolestPay user AJAX endpoint working","HolestPay user AJAX endpoint working"
"HolestPay admin AJAX endpoint working","HolestPay admin AJAX endpoint working"
"Order details","Order details"
"Pay","Pay"
"Use saved card:","Use saved card:"
"-- Use new card --","-- Use new card --"
"Card ending in","Card ending in"
"expires","expires"
"Make Default","Make Default"
"General error","An error occurred. Please try again."
"Network error","Network error occurred. Please check your connection."
"Server error","Server error occurred. Please try again later."
"Validation error","Please check your input and try again."
"Token removed successfully","Card removed successfully"
"Token set as default","Card set as default successfully"
"Failed to remove token","Failed to remove card"
"Failed to set default token","Failed to set card as default"
"Script loading failed","Failed to load payment system. Please refresh the page."
"Payment system unavailable","Payment system is currently unavailable. Please try again later."
"No payment method selected","Please select a payment method"
"Payment method not available","Selected payment method is not available"
"Invalid payment data","Invalid payment information provided"
"Payment successful","Payment completed successfully"
"Order placed successfully","Your order has been placed successfully"
"Loading payment methods","Loading available payment methods..."
"Initializing payment","Initializing payment system..."
"Processing payment","Processing your payment..."
"Redirecting to payment","Redirecting to payment gateway..."
"Forwarding payment response","Forwarding payment response to site"
"Site response received","Site response received"
"Redirecting to success URL","Redirecting to success URL"
"Using original order URL","Using original order URL"
"No success URL available","No success URL available"
"Error forwarding payment response","Error forwarding payment response"
"Error Code:","Error Code:"
"Error Message:","Error Message:"
"Email: ","Email: "
"Transaction ID:","Transaction ID:"
"Payment Status:","Payment Status:"
"Return to Checkout","Return to Checkout"
"Insert Footer Logotypes","Insert Footer Logotypes"
"Card","Card"
"Bank","Bank"
"3DS","3DS"
"Payment Successful - Order Confirmation","Payment Successful - Order Confirmation"
"Your order has been processed successfully. Thank you for your purchase!","Your order has been processed successfully. Thank you for your purchase!"
"Order Details","Order Details"
"Order ID:","Order ID:"
"Order Total:","Order Total:"
"Payment Information","Payment Information"
"Payment Failed - Order Details","Payment Failed - Order Details"
"We're sorry, but your payment could not be processed. Please try again or contact customer support if the problem persists.","We're sorry, but your payment could not be processed. Please try again or contact customer support if the problem persists."
"Error Details","Error Details"
"Return to Cart","Return to Cart"
"Payment Result","Payment Result"
"SKU:","SKU:"
"Qty:","Qty:"
"Phone:","Phone:"
"Order Not Found","Order Not Found"
"The order you are looking for could not be found.","The order you are looking for could not be found."
"Referent order not found! Please contact us for assistance.","Referent order not found! Please contact us for assistance."
"The order you are looking for could not be found in our system. This may happen if:","The order you are looking for could not be found in our system. This may happen if:"
"The order ID is incorrect or has been changed","The order ID is incorrect or has been changed"
"The order has been deleted or expired","The order has been deleted or expired"
"You accessed this page directly without completing a payment","You accessed this page directly without completing a payment"
"There was an error during the payment process","There was an error during the payment process"
"Go to My Account","Go to My Account"
"Contact Support","Contact Support"
"N/A","N/A"
"Unnamed Item","Unnamed Item"
"Same as Billing","Same as Billing"
"Status code for the 3D transaction","Status code for the 3D transaction"
"Accounted amount","Accounted amount"
"Accounted amount in order currency","Accounted amount in order currency"
"Refunded amount in order currency","Refunded amount in order currency"
"Captured amount in order currency","Captured amount in order currency"
"PAID","PAID"
"EXPIRED","EXPIRED"
"REFUSED","REFUSED"
"REFUND","REFUND"
"REFUNDED","REFUNDED"
"PARTIALLY-REFUNDED","PARTIALLY-REFUNDED"
"RESERVED","RESERVED"
"RESERVE","RESERVE"
"CAPTURE","CAPTURE"
"CAPTURED","CAPTURED"
"REVOKED","REVOKED"
"VOID","VOID"
"VOIDED","VOIDED"
"AWAITING","AWAITING"
"Email:","Email:"
