"Payment failed, you can try again","Payment failed, you can try again..."
"Payment has failed","Payment has failed. You can try again!"
"Payment refused","Payment refused"
"Payment refused, you can try again","Payment refused, you can try again..."
"Recurring interval","Recurring interval"
"Recurring interval value","Recurring interval value"
"Recurring total payments","Recurring total payments"
"Refunded amount","Refunded amount"
"Try to pay again","Try to pay again..."
"error","Error"
"error_contact_us","Error, please contact us for assistance."
"remove_token_confirm","Please confirm you want to remove payment token vault reference. If you have subscriptions with us, they might get terminated if we fail to charge you for the next billing period."
"result","Result"
"Custom Frontend CSS","Custom Frontend CSS"
"Add custom CSS code that will be rendered in the frontend template","Add custom CSS code that will be rendered in the frontend template"
"Custom Frontend JS","Custom Frontend JS"
"Add custom JavaScript code that will be rendered in the frontend template","Add custom JavaScript code that will be rendered in the frontend template"
"An error occurred while processing your request.","An error occurred while processing your request."
"Fiscal Information","Fiscal Information"
"Shipping Information","Shipping Information"
"Grand Total:","Grand Total:"
"Order Totals","Order Totals"
"Order Items","Order Items"
"Order Summary","Order Summary"
"Payment Successful!","Payment Successful!"
"Payment Failed!","Payment Failed!"
"Order Number:","Order Number:"
"Order Date:","Order Date:"
"Payment Method:","Payment Method:"
"Order Status:","Order Status:"
"Product","Product"
"SKU","SKU"
"Qty","Qty"
"Price","Price"
"Total","Total"
"Subtotal:","Subtotal:"
"Shipping:","Shipping:"
"Tax:","Tax:"
"Discount:","Discount:"
"Billing Address","Billing Address"
"Shipping Address","Shipping Address"
"Phone: ","Phone: "
"Payment Details","Payment Details"
"View My Orders","View My Orders"
"Continue Shopping","Continue Shopping"
"Try Payment Again","Try Payment Again"
"Order information is not available.","Order information is not available."
"Return to Homepage","Return to Homepage"
"Order UID","Order UID"
"Authorization Code","Authorization Code"
"Transaction Status Code","Transaction Status Code"
"Transaction ID","Transaction ID"
"Transaction Time","Transaction Time"
"Amount in order currency","Amount in order currency"
"Amount in payment currency","Amount in payment currency"
"Refunded amount","Refunded amount"
"Captured amount","Captured amount"
"Accounted amount","Accounted amount"
"Accounted amount in order currency","Accounted amount in order currency"
"Refunded amount in order currency","Refunded amount in order currency"
"Captured amount in order currency","Captured amount in order currency"
"Try to pay again","Try to pay again"
"PAID","PAID"
"EXPIRED","EXPIRED"
"REFUSED","REFUSED"
"FAILED","FAILED"
"SUCCESS","SUCCESS"
"REFUND","REFUND"
"REFUNDED","REFUNDED"
"PARTIALLY-REFUNDED","PARTIALLY-REFUNDED"
"RESERVED","RESERVED"
"RESERVE","RESERVE"
"CAPTURE","CAPTURE"
"CAPTURED","CAPTURED"
"CANCELED","CANCELED"
"REVOKED","REVOKED"
"VOID","VOID"
"VOIDED","VOIDED"
"AWAITING","AWAITING"
"Email:","Email:"
"Active","Active"
"Add HolestPay Status Column","Add HolestPay Status Column"
"Add to Cart","Add to Cart"
"Admin","Admin"
"All Countries","All Countries"
"Allow Specific Countries","Allow Specific Countries"
"Amount","Amount"
"API Configuration","API Configuration"
"API Error","API Error"
"API Key","API Key"
"API Response","API Response"
"API URL","API URL"
"Apply","Apply"
"Back","Back"
"Cancel","Cancel"
"Card Number","Card Number"
"Checkout","Checkout"
"City","City"
"Clear Quote","Clear Quote"
"Configuration","Configuration"
"Country","Country"
"Create Order","Create Order"
"Credit Card","Credit Card"
"Currency","Currency"
"Customer","Customer"
"Database","Database"
"Debug","Debug"
"Delete","Delete"
"Description","Description"
"Disabled","Disabled"
"Edit","Edit"
"Email","Email"
"Enabled","Enabled"
"Environment","Environment"
"First Name","First Name"
"General","General"
"HolestPay Configuration","HolestPay Configuration"
"HolestPay Order Status","HolestPay Order Status"
"HolestPay Payment Gateway","HolestPay Payment Gateway"
"HolestPay Status","HolestPay Status"
"HolestPay UID","HolestPay UID"
"Install","Install"
"Invalid","Invalid"
"Last Name","Last Name"
"Live","Live"
"Loading","Loading"
"Log","Log"
"Manage All Orders","Manage All Orders"
"Merchant Site UID","Merchant Site UID"
"Message","Message"
"Minimum Order Total","Minimum Order Total"
"Module","Module"
"Name","Name"
"New Order Status","New Order Status"
"No","No"
"Order","Order"
"Order ID","Order ID"
"Order Status","Order Status"
"Order Total","Order Total"
"Payment","Payment"
"Payment Method","Payment Method"
"Phone","Phone"
"Please wait...","Please wait..."
"Processing","Processing"
"Quantity","Quantity"
"Refresh","Refresh"
"Required","Required"
"Save","Save"
"Secret Key","Secret Key"
"Select","Select"
"Settings","Settings"
"Shipping","Shipping"
"Sort Order","Sort Order"
"Specific Countries","Specific Countries"
"Status","Status"
"Title","Title"
"Uninstall","Uninstall"
"Update","Update"
"View","View"
"Yes","Yes"
"Don't Send Default Order Mail","Don't Send Default Order Mail"
